Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
PRIMORSKI TEHNOLOŠKI PARK d.o.o.,PRIMORSKI TEHNOLOŠKI PARK d.o.o.,,"Mednarodni prehod 6, 5290 Šempeter pri Gorici",", PRIMORSKI TEHNOLOŠKI PARK d.o.o."
"AGENCIJA AVANTA družba za komuniciranje d.o.o., Ljubljana","AGENCIJA AVANTA družba za komuniciranje d.o.o., Ljubljana",,"Prule 19, 1000 Ljubljana",", AGENCIJA AVANTA družba za komuniciranje d.o.o., Ljubljana"
"CELICA, biomedicinski center, d.o.o.","CELICA, biomedicinski center, d.o.o.",,"Tehnološki park 24, 1000 Ljubljana",", CELICA, biomedicinski center, d.o.o."
DR. WELL nenujni reševalni prevozi d.o.o.,DR. WELL nenujni reševalni prevozi d.o.o.,,"Ulica XXX. divizije 20, 6320 Portorož - Portorose",", DR. WELL nenujni reševalni prevozi d.o.o."
"GVO, gradnja in vzdrževanje telekomunikacijskih omrežij, d.o.o.","GVO, gradnja in vzdrževanje telekomunikacijskih omrežij, d.o.o.",,"Cigaletova ulica 10, 1000 Ljubljana",", GVO, gradnja in vzdrževanje telekomunikacijskih omrežij, d.o.o."
VETERINARIA MURSKA SOBOTA d.o.o.,VETERINARIA MURSKA SOBOTA d.o.o.,,"Markišavska ulica 3, 9000 Murska Sobota",", VETERINARIA MURSKA SOBOTA d.o.o."
VETERINARSKA POSTAJA LENDAVA d.o.o.,VETERINARSKA POSTAJA LENDAVA d.o.o.,,"Kolodvorska ulica 37, 9220 Lendava - Lendva",", VETERINARSKA POSTAJA LENDAVA d.o.o."
VETERINARSKA POSTAJA RADGONA d.o.o.,VETERINARSKA POSTAJA RADGONA d.o.o.,,"Partizanska cesta 44, 9250 Gornja Radgona",", VETERINARSKA POSTAJA RADGONA d.o.o."
"ELEKTRONIK KRANJC servis, inženiring, proizvodnja in trgovina d.o.o. Brežice","ELEKTRONIK KRANJC servis, inženiring, proizvodnja in trgovina d.o.o. Brežice",,"Cesta prvih borcev 41, 8250 Brežice",", ELEKTRONIK KRANJC servis, inženiring, proizvodnja in trgovina d.o.o. Brežice"
"MORELA OKULISTI, d.o.o.","MORELA OKULISTI, d.o.o.",,"Tehnološki park 21, 1000 Ljubljana",", MORELA OKULISTI, d.o.o."
"ADECCO H.R., kadrovsko svetovanje, d.o.o.","ADECCO H.R., kadrovsko svetovanje, d.o.o.",,"Ameriška ulica 8, 1000 Ljubljana",", ADECCO H.R., kadrovsko svetovanje, d.o.o."
INFRASTRUKTURA BLED d.o.o.,INFRASTRUKTURA BLED d.o.o.,,"Rečiška cesta 2, 4260 Bled",", INFRASTRUKTURA BLED d.o.o."
DR.POŠTENJAK specialistična psihiatrična ambulantna dejavnost d.o.o.,DR.POŠTENJAK specialistična psihiatrična ambulantna dejavnost d.o.o.,,"Cankarjeva ulica 6, 2000 Maribor",", DR.POŠTENJAK specialistična psihiatrična ambulantna dejavnost d.o.o."
"BERGHAUS družba za storitve, trgovino in gostinstvo d.o.o.","BERGHAUS družba za storitve, trgovino in gostinstvo d.o.o.",,"Ulica tabornikov 26, 2000 Maribor",", BERGHAUS družba za storitve, trgovino in gostinstvo d.o.o."
"OLIVIER'S, MEDICO, turizem in trgovina d.o.o.","OLIVIER'S, MEDICO, turizem in trgovina d.o.o.",,"Levstikova ulica 17, 9226 Moravske Toplice",", OLIVIER'S, MEDICO, turizem in trgovina d.o.o."
"RAZVOJNI CENTER KOČEVJE RIBNICA d.o.o., družba za razvoj in svetovanje","RAZVOJNI CENTER KOČEVJE RIBNICA d.o.o., družba za razvoj in svetovanje",,"Trata XIV 6 A, 1330 Kočevje",", RAZVOJNI CENTER KOČEVJE RIBNICA d.o.o., družba za razvoj in svetovanje"
